shipsRemaining, shipsSunk, proportionShipsRemaining, minesRemaining, minesDetonated, proportionMinesRemaining
0, 2,0.00,8,2,0.80
0, 1,0.00,9,1,0.90
0, 3,0.00,7,3,0.70
1, 2,0.33,8,2,0.80
0, 3,0.00,7,3,0.70
5, 5,0.50,5,5,0.50
0, 2,0.00,8,2,0.80
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
5, 5,0.50,5,5,0.50
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
6, 4,0.60,6,4,0.60
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
7, 3,0.70,7,3,0.70
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
2, 0,1.00,10,0,1.00
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
0, 2,0.00,8,2,0.80
1, 1,0.50,9,1,0.90
